timestamp_ms,value,rris
1740667705004,91,694.3359375
1740667706084,90,643.5546875,721.6796875
1740667707074,90,740.234375
1740667708063,88,648.4375
1740667709009,88,824.21875
1740667709999,85,876.953125,664.0625
1740667711034,82,859.375
1740667712023,80,752.9296875
1740667713013,79,656.25,932.6171875
1740667714004,79,721.6796875
1740667715039,80,680.6640625
1740667716082,81,943.359375
1740667717019,81,784.1796875,701.171875
1740667718009,81,907.2265625
1740667718999,80,704.1015625
1740667720033,80,689.453125,974.609375
1740667721024,80,725.5859375
1740667722013,79,705.078125
1740667723004,79,1021.484375
1740667724038,79,793.9453125
1740667725029,78,861.328125
1740667726018,76,835.9375,966.796875
1740667727009,75,902.34375
1740667727998,73,671.875
1740667729033,71,658.203125
1740667730023,69,939.453125
1740667731013,66,660.15625,1033.203125
1740667732003,66,819.3359375
1740667733038,66,705.078125
1740667734028,67,979.4921875
1740667735019,66,841.796875
1740667736008,68,701.171875,990.234375
1740667736999,68,778.3203125
1740667738033,68,736.328125
1740667739114,70,864.2578125,688.4765625
1740667740014,71,650.390625
1740667741003,75,639.6484375
1740667742039,81,601.5625,1070.3125
1740667743037,81,701.171875
1740667744018,81,707.03125
1740667745008,80,890.625,816.40625
1740667745998,78,671.875
1740667747033,79,801.7578125
1740667748023,78,863.28125,686.5234375
1740667749012,78,675.78125
1740667750002,79,697.265625
1740667751083,83,1038.0859375,709.9609375
1740667752028,84,641.6015625
1740667753017,85,664.0625
1740667754008,87,689.453125,778.3203125
1740667754998,86,885.7421875
1740667756077,84,702.1484375
1740667757068,84,661.1328125,910.15625
1740667758013,83,714.84375
1740667759002,82,675.78125
1740667760037,83,952.1484375
1740667761027,82,918.9453125
1740667762062,80,671.875
1740667763008,80,1007.8125
1740667763998,80,973.6328125
1740667765033,80,839.84375
1740667766023,79,1038.0859375
1740667767012,78,824.21875
1740667768002,77,1042.96875
1740667769037,74,988.28125,867.1875
1740667770117,73,1010.7421875
1740667771017,72,896.484375
1740667772008,72,1001.953125
1740667773042,71,1014.6484375
1740667774033,70,769.53125
1740667775023,70,1039.0625
1740667776012,69,1038.0859375
1740667777002,68,975.5859375
1740667778037,67,1027.34375
1740667779027,67,983.3984375
1740667780017,66,1031.25
1740667781007,65,875
1740667781997,65,684.5703125
1740667783032,66,1086.9140625
1740667784028,66,939.453125
1740667785015,66,698.2421875
1740667786003,66,979.4921875
1740667787037,65,1016.6015625,1007.8125
1740667788028,64,1018.5546875
1740667789017,64,822.265625
1740667790007,64,979.4921875
1740667791044,64,996.09375
1740667792032,64,795.8984375
1740667793028,64,1035.15625
1740667794057,65,1026.3671875
1740667795001,64,885.7421875
1740667796082,64,992.1875,719.7265625
1740667797035,65,724.609375
1740667798017,66,852.5390625
1740667799007,68,664.0625
1740667799997,69,663.0859375
1740667801032,71,1050.78125,1020.5078125
1740667802021,70,824.21875
1740667803012,69,678.7109375
1740667804002,70,734.375
1740667805037,71,850.5859375,867.1875
1740667806072,71,697.265625
1740667807061,72,787.109375
1740667808007,73,905.2734375
1740667808997,73,842.7734375
1740667810031,72,822.265625,976.5625
1740667811021,72,880.859375
1740667812012,72,671.875,655.2734375
1740667813001,76,648.4375
1740667814037,80,648.4375
1740667815026,82,1088.8671875
1740667816024,84,948.2421875
1740667817006,85,818.359375
1740667817996,84,946.2890625
1740667819031,82,1014.6484375
1740667820021,82,875
1740667821011,79,899.4140625
1740667822002,78,996.09375
1740667823036,76,937.5
1740667824026,74,923.828125,987.3046875
1740667825016,73,747.0703125
1740667826006,72,744.140625
1740667826996,73,1071.2890625
1740667828031,73,1002.9296875
1740667829022,71,747.0703125
1740667830011,71,955.078125
1740667831001,71,1015.625
1740667832036,70,730.46875
1740667833025,71,742.1875,1027.34375
