timestamp_ms,value,rris
1730216636651,81,749.0234375,749.0234375
1730216637641,81,694.3359375
1730216638677,81,706.0546875
1730216639666,81,736.328125
1730216640656,81,813.4765625,838.8671875
1730216641646,80,801.7578125
1730216642640,80,779.296875
1730216643671,79,778.3203125
1730216644661,79,801.7578125,818.359375
1730216645651,78,851.5625
1730216646641,78,837.890625
1730216647676,77,794.921875,766.6015625
1730216648666,77,728.515625
1730216649656,78,678.7109375,643.5546875
1730216650646,79,631.8359375
1730216651636,82,650.390625,676.7578125
1730216652671,83,661.1328125
1730216653661,84,803.7109375
1730216654696,84,841.796875
1730216655686,81,829.1015625,797.8515625
1730216656681,80,761.71875
1730216657666,80,729.4921875
1730216658656,80,708.984375,689.453125
1730216659646,81,674.8046875
1730216660636,82,681.640625,750
1730216661671,83,721.6796875
1730216662661,82,678.7109375
1730216663651,83,762.6953125
1730216664641,83,927.734375
1730216665676,80,879.8828125,868.1640625
1730216666666,79,748.046875
1730216667656,79,721.6796875,695.3125
1730216668646,79,684.5703125
1730216669636,80,687.5
1730216670675,82,691.40625,709.9609375
1730216671661,82,780.2734375
1730216672651,82,715.8203125
1730216673640,82,758.7890625,838.8671875
1730216674676,81,845.703125
1730216675666,80,824.21875
1730216676656,79,738.28125,726.5625
1730216677646,79,721.6796875
1730216678636,80,729.4921875
1730216679671,80,745.1171875,735.3515625
1730216680661,80,735.3515625
1730216681650,80,767.578125
1730216682640,80,831.0546875
1730216683676,79,904.296875,857.421875
1730216684666,78,724.609375
1730216685655,77,717.7734375
1730216686646,79,730.46875,755.859375
1730216687635,79,784.1796875
1730216688670,79,727.5390625,689.453125
1730216689660,79,704.1015625
1730216690651,81,666.9921875,638.671875
1730216691640,82,641.6015625
1730216692676,83,641.6015625
1730216693665,85,689.453125,722.65625
1730216694656,85,727.5390625
1730216695645,85,708.0078125,706.0546875
1730216696635,85,691.40625
1730216697670,86,638.671875,635.7421875
1730216698660,87,621.09375
1730216699650,89,627.9296875,686.5234375
1730216700640,89,702.1484375
1730216701675,89,740.234375
1730216702665,87,753.90625,780.2734375
1730216703655,86,769.53125
1730216704690,84,701.171875,694.3359375
1730216705680,85,702.1484375
1730216706670,85,716.796875
1730216707660,85,712.890625,720.703125
1730216708650,85,721.6796875
1730216709640,85,679.6875,675.78125
1730216710675,85,687.5
1730216711664,86,697.265625,706.0546875
1730216712654,86,696.2890625
1730216713645,86,689.453125,685.546875
1730216714635,86,661.1328125
1730216715669,87,639.6484375,625
1730216716659,89,612.3046875,604.4921875
1730216717649,91,603.515625
1730216718640,92,616.2109375
1730216719629,93,621.09375
1730216720664,94,636.71875
1730216721654,95,865.234375,1054.6875
1730216722645,95,907.2265625
1730216723635,94,737.3046875
1730216724670,92,775.390625
1730216725660,84,859.375,847.65625
1730216726649,82,846.6796875
1730216727639,81,731.4453125,710.9375
1730216728629,81,712.890625
1730216729664,81,715.8203125
1730216730654,82,722.65625,676.7578125
1730216731644,82,679.6875
1730216732634,84,681.640625,677.734375
1730216733669,84,676.7578125
1730216734659,85,663.0859375,676.7578125
1730216735649,86,720.703125
1730216736639,86,830.078125
1730216737629,85,721.6796875
1730216738664,84,846.6796875
1730216739654,81,904.296875,869.140625
1730216740644,80,850.5859375
1730216741679,79,770.5078125
1730216742669,78,791.9921875
1730216743659,78,811.5234375,823.2421875
1730216744694,77,772.4609375
1730216745639,77,711.9140625
1730216746629,78,734.375,765.625
1730216747664,78,797.8515625
1730216748654,78,736.328125,669.921875
1730216749644,79,659.1796875
1730216750634,80,677.734375
1730216751669,81,777.34375
1730216752659,81,937.5
1730216753694,80,944.3359375
1730216754684,77,916.9921875,907.2265625
1730216755675,76,815.4296875
1730216756665,75,765.625
1730216757659,76,742.1875,750.9765625
1730216758644,76,757.8125
1730216759634,77,771.484375
1730216760669,77,749.0234375,699.21875
1730216761659,78,719.7265625
1730216762650,78,755.859375
1730216763639,78,797.8515625,813.4765625
1730216764629,78,769.53125
1730216765664,78,713.8671875
1730216766662,78,734.375
