timestamp_ms,value
1737657756604,3418
1737657756621,3342
1737657756641,3410
1737657756661,3638
1737657756684,3998
1737657756702,4374
1737657756722,4654
1737657756742,4862
1737657756765,5022
1737657756782,5150
1737657756804,5230
1737657756823,5262
1737657756846,5262
1737657756863,5214
1737657756883,5182
1737657756904,5118
1737657756944,5086
1737657756964,5054
1737657756984,5038
1737657757025,4926
1737657757046,4862
1737657757065,4782
1737657757105,4606
1737657757125,4542
1737657757146,4478
1737657757166,4382
1737657757186,4318
1737657757226,4174
1737657757247,4094
1737657757267,4030
1737657757288,3966
1737657757307,3902
1737657757327,3830
1737657757348,3742
1737657757368,3670
1737657757388,3630
1737657757408,3702
1737657757428,3966
1737657757448,4406
1737657757469,4862
1737657757493,5230
1737657757509,5502
1737657757529,5758
1737657757549,5942
1737657757570,6078
1737657757590,6142
1737657757610,6206
1737657757630,6142
1737657757650,6110
1737657757670,6078
1737657757692,6062
1737657757711,6014
1737657757731,5998
1737657757751,5950
1737657757771,5886
1737657757791,5838
1737657757812,5758
1737657757832,5686
1737657757852,5614
1737657757872,5526
1737657757896,5438
1737657757913,5358
1737657757933,5270
1737657757953,5182
1737657757973,5086
1737657757994,4990
1737657758014,4926
1737657758034,4830
1737657758074,4670
1737657758094,4590
1737657758155,4318
1737657758175,4222
1737657758196,4158
1737657758215,4238
1737657758236,4534
1737657758256,4982
1737657758279,5422
1737657758296,5782
1737657758316,6070
1737657758336,6302
1737657758359,6510
1737657758377,6654
1737657758397,6750
1737657758417,6782
1737657758440,6766
1737657758457,6686
1737657758478,6638
1737657758498,6574
1737657758519,6526
1737657758538,6462
1737657758560,6398
1737657758579,6358
1737657758601,6294
1737657758619,6230
1737657758639,6134
1737657758660,6046
1737657758682,5966
1737657758700,5870
1737657758720,5774
1737657758740,5678
1737657758764,5582
1737657758780,5502
1737657758801,5406
1737657758821,5310
1737657758843,5230
1737657758861,5118
1737657758881,5054
1737657758901,4974
1737657758924,4862
1737657758942,4798
1737657758982,4606
1737657759005,4510
1737657759022,4446
1737657759043,4510
1737657759063,4798
1737657759085,5230
1737657759103,5630
1737657759123,5950
1737657759143,6206
1737657759184,6558
1737657759206,6654
1737657759264,6718
1737657759285,6654
1737657759305,6606
