timestamp_ms,value,rris
1723831248513,81,744.140625
1723831249503,81,736.328125
1723831250492,81,761.71875
1723831251528,80,803.7109375,810.546875
1723831252518,80,822.265625
1723831253508,79,820.3125
1723831254498,79,829.1015625
1723831255578,78,792.96875,761.71875
1723831256568,78,778.3203125
1723831257513,78,770.5078125
1723831258503,78,717.7734375,753.90625
1723831259492,78,736.328125
1723831260527,79,712.890625,689.453125
1723831261518,80,711.9140625
1723831262508,81,678.7109375,657.2265625
1723831263497,82,678.7109375
1723831264532,83,686.5234375
1723831265522,84,692.3828125,675.78125
1723831266512,84,701.171875
1723831267503,84,724.609375,735.3515625
1723831268492,84,733.3984375
1723831269527,84,707.03125
1723831270517,84,742.1875,727.5390625
1723831271507,83,690.4296875
1723831272497,84,690.4296875,680.6640625
1723831273532,84,666.015625
1723831274522,86,655.2734375,634.765625
1723831275557,87,627.9296875
1723831276502,89,656.25,673.828125
1723831277492,89,704.1015625
1723831278527,89,743.1640625
1723831279517,87,746.09375,752.9296875
1723831280508,86,714.84375
1723831281497,85,733.3984375,737.3046875
1723831282532,85,731.4453125
1723831283522,84,749.0234375
1723831284519,84,759.765625
1723831285502,83,740.234375,780.2734375
1723831286493,82,786.1328125
1723831287528,81,777.34375,749.0234375
1723831288518,81,736.328125
1723831289508,81,688.4765625
1723831290543,82,722.65625,727.5390625
1723831291532,82,687.5
1723831292522,82,793.9453125
1723831293512,82,829.1015625
1723831294502,81,892.578125
1723831295492,80,915.0390625
1723831296527,79,918.9453125
1723831297517,76,885.7421875,846.6796875
1723831298507,76,854.4921875
1723831299498,75,856.4453125
1723831300532,75,818.359375
1723831301522,74,760.7421875,779.296875
1723831302512,75,775.390625
1723831303502,75,760.7421875
1723831304492,76,724.609375,743.1640625
1723831305572,76,752.9296875
1723831306562,77,782.2265625
1723831307507,77,779.296875,743.1640625
1723831308497,77,771.484375
1723831309532,77,780.2734375
1723831310522,77,764.6484375
1723831311512,77,767.578125,791.9921875
1723831312501,77,779.296875
1723831313492,78,704.1015625,761.71875
1723831314526,78,747.0703125
1723831315517,78,719.7265625
1723831316514,79,730.46875,734.375
1723831317497,79,741.2109375
1723831318532,80,736.328125
1723831319522,80,696.2890625,750.9765625
1723831320513,80,757.8125
1723831321502,80,753.90625
1723831322492,80,721.6796875,744.140625
1723831323527,80,723.6328125
1723831324517,81,692.3828125,681.640625
1723831325507,82,679.6875
1723831326497,82,704.1015625
1723831327532,83,727.5390625,732.421875
1723831328522,83,787.109375
1723831329512,82,788.0859375
1723831330502,82,811.5234375
1723831331491,80,779.296875,815.4296875
1723831332527,80,836.9140625
1723831333517,79,809.5703125
1723831334507,79,814.453125
1723831335497,78,801.7578125,789.0625
1723831336532,77,750.9765625
1723831337520,78,769.53125,765.625
1723831338511,78,728.515625
1723831339507,78,697.265625
1723831340491,79,746.09375,748.046875
1723831341526,79,749.0234375
1723831342561,79,732.421875
1723831343506,79,765.625
1723831344496,79,780.2734375,784.1796875
1723831345531,79,745.1171875
1723831346521,79,785.15625
1723831347511,79,782.2265625,780.2734375
1723831348505,79,757.8125
1723831349491,78,718.75
1723831350526,79,780.2734375,764.6484375
1723831351516,79,774.4140625
1723831352506,79,767.578125
1723831353496,79,760.7421875,784.1796875
1723831354576,79,772.4609375
1723831355567,78,747.0703125
1723831356511,78,771.484375
1723831357501,78,782.2265625,781.25
1723831358491,78,755.859375
1723831359526,78,788.0859375
1723831360516,78,788.0859375
1723831361506,78,793.9453125,753.90625
1723831362501,78,809.5703125
1723831363531,78,802.734375
1723831364521,77,787.109375,752.9296875
1723831365510,77,791.9921875
1723831366501,77,794.921875
1723831367491,77,780.2734375
1723831368526,77,758.7890625,791.015625
1723831369515,77,782.2265625
1723831370506,77,757.8125
1723831371500,77,776.3671875,782.2265625
1723831372530,77,766.6015625
1723831373521,77,755.859375
1723831374510,77,789.0625
1723831375501,77,794.921875,806.640625
1723831376490,77,760.7421875
1723831377525,77,794.921875
