timestamp_ms,value,rris
1732558146286,75,808.59375
1732558147276,75,779.296875,787.109375
1732558148267,75,792.96875
1732558149300,75,740.234375
1732558150291,76,765.625,754.8828125
1732558151280,76,750
1732558152271,77,699.21875,717.7734375
1732558153306,78,700.1953125
1732558154303,79,689.453125
1732558155285,80,699.21875,741.2109375
1732558156276,80,765.625
1732558157266,80,768.5546875
1732558158302,80,721.6796875,724.609375
1732558159291,80,752.9296875
1732558160281,81,773.4375
1732558161272,80,792.96875,727.5390625
1732558162307,80,717.7734375
1732558163296,80,753.90625
1732558164286,80,798.828125,803.7109375
1732558165276,80,771.484375
1732558166266,79,757.8125
1732558167301,79,770.5078125
1732558168336,79,769.53125,788.0859375
1732558169326,79,729.4921875
1732558170271,79,708.0078125,721.6796875
1732558171306,80,752.9296875
1732558172295,80,773.4375
1732558173285,80,725.5859375,714.84375
1732558174275,80,707.03125
1732558175266,81,708.0078125,714.84375
1732558176300,81,671.875
1732558177290,82,684.5703125
1732558178281,83,705.078125,758.7890625
1732558179269,83,754.8828125
1732558180305,83,718.75
1732558181296,82,775.390625
1732558182291,82,804.6875,816.40625
1732558183276,81,815.4296875
1732558184266,80,760.7421875
1732558185300,80,758.7890625,732.421875
1732558186290,80,735.3515625
1732558187280,80,687.5,666.015625
1732558188270,81,692.3828125
1732558189305,83,677.734375,654.296875
1732558190296,83,740.234375
1732558191287,84,760.7421875
1732558192275,83,736.328125
1732558193266,83,729.4921875,784.1796875
1732558194301,82,852.5390625
1732558195291,81,838.8671875
1732558196281,80,789.0625,767.578125
1732558197270,79,741.2109375
1732558198305,79,746.09375
1732558199296,80,737.3046875,688.4765625
1732558200291,80,692.3828125
1732558201275,81,726.5625
1732558202266,81,809.5703125,804.6875
1732558203300,80,761.71875
1732558204291,80,715.8203125
1732558205281,80,737.3046875,762.6953125
1732558206269,80,791.015625
1732558207303,80,696.2890625,695.3125
1732558208294,81,712.890625
1732558209283,81,742.1875
1732558210273,81,762.6953125,749.0234375
1732558211263,81,703.125
1732558212298,82,659.1796875,628.90625
1732558213288,83,626.953125
1732558214278,86,653.3203125,697.265625
1732558215268,86,701.171875
1732558216303,86,666.9921875,694.3359375
1732558217338,87,699.21875
1732558218328,86,732.421875
1732558219318,85,769.53125,710.9375
1732558220263,85,740.234375
1732558221298,85,721.6796875
1732558222288,84,744.140625,783.203125
1732558223278,83,736.328125
1732558224268,83,712.890625
1732558225303,83,754.8828125,750
1732558226293,82,692.3828125
1732558227328,83,692.3828125,642.578125
1732558228273,85,653.3203125,644.53125
1732558229263,86,616.2109375
1732558230298,88,614.2578125,613.28125
1732558231288,91,592.7734375,583.984375
1732558232278,93,574.21875
1732558233268,96,580.078125,601.5625
1732558234303,97,687.5
1732558235293,97,735.3515625
1732558236283,92,734.375,728.515625
1732558237273,90,706.0546875,657.2265625
1732558238308,89,611.328125
1732558239298,91,602.5390625,605.46875
1732558240288,93,640.625
1732558241278,93,701.171875
1732558242268,91,747.0703125,773.4375
1732558243303,89,768.5546875
1732558244293,88,757.8125
1732558245283,86,781.25
1732558246318,84,796.875,801.7578125
1732558247263,83,798.828125
1732558248298,82,752.9296875
1732558249288,82,761.71875
1732558250277,81,775.390625,818.359375
1732558251268,80,819.3359375
1732558252303,79,753.90625,745.1171875
1732558253293,79,711.9140625
1732558254283,80,715.8203125
1732558255277,81,714.84375,696.2890625
1732558256263,81,649.4140625
1732558257298,83,667.96875,675.78125
1732558258288,84,698.2421875
1732558259278,84,758.7890625
1732558260268,83,807.6171875,779.296875
1732558261304,82,681.640625
1732558262294,83,649.4140625,646.484375
1732558263284,84,670.8984375
1732558264278,85,715.8203125,667.96875
1732558265263,85,695.3125
1732558266299,86,741.2109375
1732558267335,85,777.34375
1732558268325,84,745.1171875,830.078125
