peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
18,491,837.7070935346486,1732.2742328611016,13.949212846692317,28447.874323186326,259.0,518.0,295.9908045319023,90.20726301522723,0.0,776.0,0.0,279793.765226143,-54.27605024701438,400381948.510947,2.9042265608425963,1.0
45,1267,732.338996041858,1536.415818015915,15.866446921694532,27964.43819792773,258.0,496.0,274.82859410092067,82.11012561543896,776.0,736.0,0.9484536082474226,219777.1561855958,-53.18770953819082,2113342182.372256,3.9853798602515464,1.0
73,2003,725.6387624454778,1495.6994939520657,14.907324963467104,30289.27722005055,240.0,499.0,267.4712595766325,82.32845595619779,736.0,760.0,1.0326086956521738,226210.279677341,-53.27081485400468,2590087650.831405,7.567323331869681,1.0
100,2763,788.1533785670906,1663.0097410081792,15.893473515629239,32392.20251044247,261.0,539.0,296.15148652014364,93.01951366688036,760.0,768.0,1.0105263157894737,264092.0234463741,-54.06558474598982,2754898602.458855,5.985166142214521,1.0
129,3531,863.9838102439402,1755.1607864052148,14.547583065471855,31240.253179078627,229.0,539.0,304.7044038384226,90.08346643608809,768.0,776.0,1.0104166666666667,291924.98151323205,-54.43090044600723,2712697317.94987,3.47914827443033,1.0
158,4307,696.4438055016933,1438.9044470844883,16.788047005399505,30121.823345938148,237.0,496.0,254.66337182391447,74.5694369123895,776.0,736.0,0.9484536082474226,218029.81997409137,-53.218969312889534,2664596466.512884,5.58888679061796,1.0
188,5043,725.2081425104877,1564.180976147923,15.108580362622007,25987.212444746358,197.0,494.0,245.01745978999514,68.82635367519458,736.0,757.0,1.028532608695652,224907.6372802171,-53.21108671945082,2520106069.1309342,6.326048727806131,1.0
215,5800,703.8654305626569,1479.654027273896,14.86414054942415,29777.890814007238,263.0,511.0,241.62769639932753,73.13734698997393,757.0,785.0,1.0369881109643329,231725.56956778717,-53.43086185060712,2344797503.008612,3.8085466227141787,1.0
244,6585,782.4558259822526,1631.2640828652425,17.278134199892406,32231.38972218157,274.0,431.0,272.08749772867066,77.88500692977107,785.0,775.0,0.9872611464968153,227734.29120789896,-53.529871796846365,2516968511.5197415,3.0731021089651764,1.0
278,7360,782.7702587029098,1589.9856125951944,18.095664227222755,32968.16836697444,237.0,453.0,258.2409015541428,73.17442451726822,775.0,797.0,1.0283870967741935,247044.38288242437,-53.90327550731911,2787022353.719524,3.1712647592214043,1.0
314,8157,809.4112296011027,1664.7775245437347,18.212077867252106,30916.421931242407,215.0,452.0,255.4060912879305,67.76592461022256,797.0,797.0,1.0,246537.53816634224,-53.88705954985559,2805565215.1937785,3.7308397577508856,1.0
348,8954,746.1232242986871,1533.1800021825259,17.879652827802886,33208.26301007517,237.0,474.0,266.62664350373024,78.1629225287063,797.0,754.0,0.946047678795483,247119.7054984526,-53.84813055946324,2726136163.734242,3.3395752270939942,1.0
381,9708,764.2127682528346,1569.2266873861406,16.252755078152745,28322.790015395534,216.0,473.0,246.6969281649744,63.64340491151745,754.0,753.0,0.9986737400530504,235151.24961903697,-53.57951561762489,2664576617.730006,3.525703136846033,1.0
413,10461,785.9052007908473,1665.4535150725455,17.29045613503888,29594.475460572994,237.0,433.0,258.4591450786412,70.20819918515645,753.0,732.0,0.9721115537848606,235849.26277471057,-53.629785874921616,2574506924.718154,3.91148496001431,1.0
446,11193,757.6502371775434,1572.575147369963,17.548110201652264,29703.252210401733,258.0,474.0,253.53662834786303,70.20638573138524,732.0,754.0,1.030054644808743,242158.2699278823,-53.723117468588356,2720509208.4920745,3.2834985754060604,1.0
