timestamp_ms,value,rris
1729626788687,99,593.75
1729626789677,100,590.8203125,585.9375
1729626790712,101,579.1015625,582.03125
1729626791702,102,572.265625,576.171875
1729626792693,102,580.078125
1729626793683,103,571.2890625,572.265625
1729626794672,104,578.125,572.265625
1729626795707,104,572.265625,571.2890625
1729626796698,104,581.0546875
1729626797687,104,588.8671875,584.9609375
1729626798677,103,597.65625,599.609375
1729626799712,103,604.4921875
1729626800702,101,601.5625,593.75
1729626801692,101,603.515625,608.3984375
1729626802682,101,593.75
1729626803672,100,602.5390625,622.0703125
1729626804707,100,617.1875
1729626805697,99,605.46875,637.6953125
1729626806687,98,630.859375,622.0703125
1729626807677,97,630.859375
1729626808713,97,634.765625,626.953125
1729626809702,96,620.1171875
1729626810692,96,646.484375,630.859375
1729626811682,96,615.234375,616.2109375
1729626812672,96,628.90625
1729626813707,96,617.1875,615.234375
1729626814697,96,641.6015625
1729626815687,96,618.1640625,606.4453125
1729626816677,97,623.046875,619.140625
1729626817712,97,602.5390625
1729626818708,97,621.09375,625.9765625
1729626819692,97,610.3515625,605.46875
1729626820682,97,603.515625
1729626821672,98,617.1875,633.7890625
1729626822706,97,618.1640625
1729626823697,97,609.375,615.234375
1729626824687,97,635.7421875
1729626825677,96,658.203125,660.15625
1729626826712,95,657.2265625,654.296875
1729626827702,94,626.953125
1729626828691,94,629.8828125,621.09375
1729626829681,95,602.5390625
1729626830672,96,607.421875,614.2578125
1729626831707,96,630.859375,602.5390625
1729626832749,96,623.046875
1729626833731,97,632.8125,632.8125
1729626834721,96,618.1640625
1729626835712,96,647.4609375,640.625
1729626836701,95,625.9765625,621.09375
1729626837692,95,643.5546875
1729626838682,95,621.09375,615.234375
1729626839671,96,627.9296875
1729626840706,96,634.765625,626.953125
1729626841696,96,612.3046875,642.578125
1729626842686,96,635.7421875
1729626843676,96,616.2109375,622.0703125
1729626844711,96,643.5546875
1729626845701,95,632.8125,617.1875
1729626846699,96,629.8828125,636.71875
1729626847680,95,622.0703125
1729626848671,95,631.8359375,640.625
1729626849705,95,636.71875
1729626850696,95,617.1875,646.484375
1729626851685,95,638.671875
1729626852675,95,625.9765625,631.8359375
1729626853666,95,639.6484375,618.1640625
1729626854701,95,611.328125
1729626855694,96,608.3984375,624.0234375
1729626856680,96,619.140625
1729626857671,96,641.6015625,605.46875
1729626858705,97,608.3984375,625
1729626859695,97,611.328125
1729626860685,97,601.5625,625.9765625
1729626861675,97,612.3046875,609.375
1729626862666,97,628.90625
1729626863700,97,627.9296875,608.3984375
1729626864697,97,616.2109375,623.046875
1729626865680,97,608.3984375
1729626866671,97,614.2578125,630.859375
1729626867705,97,617.1875
1729626868695,97,613.28125,632.8125
1729626869685,97,624.0234375,606.4453125
1729626870675,97,625
1729626871665,97,626.953125,612.3046875
1729626872700,97,633.7890625
1729626873691,96,631.8359375,625.9765625
1729626874680,96,615.234375,627.9296875
1729626875670,96,627.9296875
1729626876705,96,615.234375,620.1171875
1729626877695,96,624.0234375
1729626878685,97,609.375,623.046875
1729626879675,97,629.8828125,610.3515625
1729626880666,97,625
1729626881700,96,652.34375,623.046875
1729626882735,96,630.859375
1729626883725,96,629.8828125,618.1640625
1729626884670,96,624.0234375,642.578125
1729626885705,96,622.0703125
1729626886695,96,621.09375,599.609375
1729626887685,96,602.5390625
1729626888675,97,597.65625,610.3515625
1729626889711,98,626.953125,604.4921875
1729626890700,98,597.65625
1729626891691,99,594.7265625,604.4921875
1729626892725,99,625,608.3984375
1729626893670,98,597.65625
1729626894705,99,598.6328125,598.6328125
1729626895695,99,594.7265625,612.3046875
1729626896693,99,614.2578125
1729626897675,99,602.5390625,608.3984375
1729626898710,99,610.3515625,620.1171875
1729626899700,99,605.46875
1729626900690,99,607.421875,604.4921875
1729626901679,99,595.703125,596.6796875
1729626902670,99,585.9375
1729626903704,100,587.890625,595.703125
1729626904695,101,585.9375,589.84375
1729626905684,101,600.5859375
1729626906675,101,611.328125,608.3984375
1729626907665,100,608.3984375,625
1729626908700,99,615.234375
