timestamp_ms,value,rris
1737752459022,88,692.3828125,702.1484375
1737752459968,87,688.4765625
1737752460957,87,682.6171875,706.0546875
1737752461947,87,724.609375
1737752463028,87,722.65625
1737752464295,86,720.703125,748.046875
1737752464963,85,766.6015625
1737752465953,85,751.953125
1737752466988,83,742.1875,740.234375
1737752467978,83,741.2109375
1737752468968,83,713.8671875,702.1484375
1737752469957,83,696.2890625
1737752470993,83,708.0078125
1737752471983,84,726.5625,725.5859375
1737752473159,84,726.5625
1737752473963,83,742.1875
1737752474953,83,760.7421875,759.765625
1737752475988,82,741.2109375
1737752477023,82,723.6328125
1737752477968,82,721.6796875,731.4453125
1737752478958,82,742.1875
1737752479948,82,753.90625,744.140625
1737752481028,82,728.515625
1737752481973,82,732.421875
1737752482963,82,759.765625
1737752483953,81,766.6015625,752.9296875
1737752484988,81,756.8359375
1737752485984,81,782.2265625
1737752486974,80,778.3203125,751.953125
1737752487958,80,744.140625
1737752488948,80,752.9296875
1737752489983,80,752.9296875,730.46875
1737752491018,80,718.75
1737752491963,81,733.3984375,750.9765625
1737752492998,81,736.328125
1737752493988,81,728.515625
1737752495023,81,741.2109375,741.2109375
1737752495968,81,743.1640625
1737752496958,81,726.5625
1737752497947,81,714.84375,712.890625
1737752499028,82,718.75
1737752499979,82,714.84375,719.7265625
1737752500963,82,736.328125
1737752501952,82,747.0703125
1737752502988,82,744.140625,717.7734375
1737752503978,82,701.171875
1737752504974,82,713.8671875,717.7734375
1737752505957,83,693.359375
1737752506948,83,664.0625
1737752508028,84,683.59375,680.6640625
1737752509018,85,700.1953125
1737752509963,85,705.078125,691.40625
1737752510953,85,667.96875
1737752511987,86,677.734375,690.4296875
1737752512978,86,686.5234375
1737752513968,87,677.734375,703.125
1737752514957,87,724.609375
1737752515948,86,740.234375
1737752516983,85,716.796875,698.2421875
1737752517972,85,703.125
1737752518963,85,711.9140625,717.7734375
1737752519998,85,705.078125
1737752521078,85,712.890625
1737752521978,85,734.375,749.0234375
1737752522968,84,740.234375
1737752524003,84,725.5859375
1737752524948,84,710.9375,718.75
1737752525983,84,709.9609375
1737752526973,84,695.3125,677.734375
1737752527963,84,686.5234375
1737752528953,85,707.03125
1737752529988,85,731.4453125,735.3515625
1737752530978,84,760.7421875
1737752531968,84,810.546875
1737752532958,82,833.0078125,807.6171875
1737752533948,81,754.8828125
1737752535028,80,734.375
1737752535979,81,714.84375,698.2421875
1737752536963,81,675.78125
1737752537953,83,670.8984375,668.9453125
1737752538988,83,663.0859375
1737752539978,85,666.015625,697.265625
1737752540968,85,746.09375
1737752542099,85,769.53125
1737752542993,84,757.8125
1737752543983,83,773.4375,834.9609375
1737752545018,82,834.9609375
1737752545963,81,788.0859375
1737752546953,80,744.140625,724.609375
1737752548033,80,711.9140625
1737752548978,81,700.1953125
1737752550058,81,713.8671875,753.90625
1737752550958,81,776.3671875
1737752551949,81,773.4375
1737752552983,80,823.2421875,812.5
1737752553973,79,775.390625
1737752554970,79,755.859375
1737752555999,79,765.625
1737752557034,79,779.296875,777.34375
1737752558023,79,757.8125
1737752558968,79,729.4921875,715.8203125
1737752559960,79,733.3984375
1737752560993,80,744.140625
1737752561983,80,740.234375
1737752562973,80,748.046875,769.53125
1737752563963,80,786.1328125
1737752565007,80,795.8984375
1737752565988,79,763.671875,736.328125
1737752567023,79,723.6328125
1737752567968,80,712.890625,699.21875
1737752568964,80,687.5
1737752569948,82,686.5234375,668.9453125
1737752570983,82,658.203125
1737752571973,84,639.6484375,642.578125
1737752572963,85,655.2734375
1737752574000,86,657.2265625
1737752574943,87,686.5234375,745.1171875
1737752575978,87,835.9375
1737752576968,85,849.609375
1737752577958,84,781.25
1737752578953,82,788.0859375,816.40625
1737752579983,81,820.3125
1737752580973,80,812.5
1737752581972,79,758.7890625,735.3515625
1737752582959,79,723.6328125
1737752583943,80,720.703125
