timestamp_ms,value,rris
1724245514139,70,867.1875
1724245515130,70,896.484375,897.4609375
1724245516118,70,809.5703125
1724245517153,70,747.0703125
1724245518143,71,823.2421875
1724245519136,71,902.34375
1724245520123,71,924.8046875
1724245521160,71,796.875
1724245522150,71,804.6875,888.671875
1724245523140,71,978.515625
1724245524130,70,846.6796875
1724245525119,70,794.921875
1724245526154,70,914.0625
1724245527146,70,981.4453125
1724245528135,70,984.375
1724245529125,69,896.484375
1724245530160,68,892.578125
1724245531149,68,987.3046875
1724245532141,68,1053.7109375
1724245533175,67,975.5859375
1724245534120,66,940.4296875
1724245535155,66,994.140625
1724245536143,65,1015.625,940.4296875
1724245537135,64,841.796875
1724245538125,65,859.375
1724245539160,65,960.9375
1724245540148,65,956.0546875
1724245541140,65,810.546875
1724245542128,65,833.0078125
1724245543120,66,957.03125
1724245544154,66,980.46875
1724245545145,66,870.1171875
1724245546133,66,881.8359375
1724245547135,66,997.0703125
1724245548160,66,992.1875
1724245549150,65,933.59375
1724245550187,65,883.7890625
1724245551175,65,1003.90625,1024.4140625
1724245552219,64,973.6328125
1724245553155,64,872.0703125
1724245554146,64,913.0859375
1724245555133,64,1017.578125
1724245556130,64,986.328125
1724245557160,64,868.1640625
1724245558149,64,896.484375
1724245559140,64,963.8671875
1724245560131,64,922.8515625
1724245561129,65,824.21875,831.0546875
1724245562155,66,857.421875
1724245563145,67,800.78125,734.375
1724245564135,68,701.171875
1724245565124,69,698.2421875
1724245566160,71,722.65625
1724245567150,72,757.8125
1724245568140,73,883.7890625
1724245569128,72,986.328125,914.0625
1724245570121,72,877.9296875
1724245571154,71,878.90625
1724245572145,71,904.296875
1724245573134,70,891.6015625
1724245574125,70,890.625
1724245575159,70,914.0625
1724245576150,69,915.0390625
1724245577140,69,903.3203125
1724245578129,69,905.2734375,925.78125
1724245579119,68,856.4453125
1724245580155,68,785.15625
1724245581144,69,952.1484375
1724245582135,69,901.3671875
1724245583126,68,980.46875
1724245584160,68,891.6015625
1724245585150,68,727.5390625
1724245586140,68,1013.671875
1724245587129,68,944.3359375,943.359375
1724245588121,67,840.8203125
1724245589156,67,834.9609375
1724245590145,68,930.6640625
1724245591135,68,938.4765625
1724245592126,67,902.34375
1724245593159,67,796.875
1724245594150,68,884.765625
1724245595140,68,949.21875,937.5
1724245596176,67,846.6796875
1724245597120,67,865.234375
1724245598198,68,942.3828125
1724245599143,68,924.8046875
1724245600225,67,828.125
1724245601170,67,896.484375
1724245602159,68,946.2890625
1724245603151,67,933.59375
1724245604139,67,833.984375
1724245605130,67,867.1875,955.078125
1724245606119,67,947.265625
1724245607153,67,839.84375
1724245608144,67,916.015625
1724245609135,67,958.984375
1724245610123,67,935.546875
1724245611160,66,870.1171875
1724245612150,66,859.375
1724245613139,67,953.125
1724245614130,66,954.1015625,888.671875
1724245615120,66,866.2109375
1724245616155,66,921.875
1724245617146,67,941.40625
1724245618136,66,846.6796875
1724245619124,66,893.5546875
1724245620160,67,961.9140625
1724245621149,66,969.7265625
1724245622140,66,857.421875
1724245623129,66,890.625
1724245624120,66,964.84375,923.828125
1724245625155,66,839.84375
1724245626143,66,917.96875
1724245627136,66,959.9609375
1724245628124,66,958.984375
1724245629159,66,838.8671875
1724245630151,66,874.0234375
1724245631139,66,944.3359375
1724245632130,66,975.5859375,836.9140625
1724245633121,66,791.015625
1724245634153,67,797.8515625
1724245635143,69,767.578125,746.09375
