timestamp_ms,value,rris
1737145885874,81,742.1875,743.1640625
1737145886864,81,774.4140625
1737145887899,81,764.6484375
1737145888889,80,767.578125,762.6953125
1737145889879,80,756.8359375
1737145890870,80,750,731.4453125
1737145891859,80,698.2421875
1737145892939,81,675.78125,658.203125
1737145893884,82,651.3671875
1737145894874,83,638.671875
1737145895864,84,683.59375
1737145896908,85,702.1484375,753.90625
1737145897889,85,930.6640625
1737145898879,83,892.578125
1737145899869,81,845.703125
1737145900859,79,820.3125,771.484375
1737145901894,79,760.7421875
1737145902884,79,780.2734375
1737145903874,79,766.6015625,748.046875
1737145904864,79,726.5625
1737145905899,79,726.5625
1737145906889,79,766.6015625
1737145907879,79,833.0078125,870.1171875
1737145908869,78,807.6171875
1737145909859,77,781.25
1737145910939,77,759.765625,741.2109375
1737145911929,78,728.515625
1737145912919,78,739.2578125
1737145913864,78,725.5859375
1737145914899,79,726.5625,766.6015625
1737145915889,79,893.5546875
1737145916879,79,830.078125
1737145917914,77,776.3671875,752.9296875
1737145918859,78,757.8125
1737145919894,78,752.9296875
1737145920884,78,725.5859375,723.6328125
1737145921874,79,716.796875
1737145922864,80,708.984375,709.9609375
1737145923899,80,731.4453125
1737145924889,80,735.3515625
1737145925879,81,744.140625
1737145926914,80,787.109375,865.234375
1737145927859,80,807.6171875
1737145928894,79,800.78125
1737145929884,78,755.859375,736.328125
1737145930874,79,725.5859375
1737145931865,79,750
1737145932899,79,726.5625,709.9609375
1737145933890,80,708.984375
1737145934880,81,707.03125,682.6171875
1737145935870,81,673.828125
1737145936860,83,673.828125,672.8515625
1737145937895,84,673.828125
1737145938884,85,697.265625,725.5859375
1737145939874,85,722.65625
1737145940865,84,712.890625
1737145941899,84,728.515625,711.9140625
1737145942889,84,728.515625
1737145943880,84,715.8203125
1737145944869,84,716.796875,753.90625
1737145945860,84,768.5546875
1737145946895,83,755.859375
1737145947885,82,733.3984375,730.46875
1737145948875,82,719.7265625
1737145949865,83,695.3125,689.453125
1737145950900,83,685.546875
1737145951890,84,671.875,647.4609375
1737145952880,85,638.671875
1737145953870,87,675.78125,673.828125
1737145954860,87,685.546875
1737145955895,87,702.1484375
1737145956885,86,769.53125,751.953125
1737145957875,85,754.8828125
1737145958865,85,767.578125
1737145959900,83,786.1328125,774.4140625
1737145960935,82,756.8359375
1737145961925,82,762.6953125
1737145962870,82,783.203125
1737145963860,81,755.859375,750.9765625
1737145964895,81,782.2265625
1737145965885,80,823.2421875
1737145966875,79,817.3828125,778.3203125
1737145967910,79,770.5078125
1737145968900,79,750
1737145969890,79,792.96875
1737145970880,78,804.6875,808.59375
1737145971869,78,794.921875
1737145972859,78,762.6953125
1737145973984,78,714.84375,718.75
1737145974884,78,694.3359375
1737145975875,80,681.640625,666.9921875
1737145976865,81,662.109375
1737145977945,83,651.3671875,672.8515625
1737145979482,84,676.7578125
1737145979880,84,708.0078125
1737145980869,84,789.0625,783.203125
1737145981860,83,771.484375
1737145982895,82,785.15625
1737145983885,81,798.828125,757.8125
1737145984875,81,737.3046875
1737145985865,81,729.4921875
1737145986900,81,710.9375,702.1484375
1737145987890,81,714.84375
1737145988880,82,749.0234375
1737145989870,81,780.2734375,793.9453125
1737145990860,81,749.0234375
1737145991895,81,738.28125
1737145992932,81,760.7421875,781.25
1737145993920,80,785.15625
1737145994865,80,787.109375
1737145995900,79,775.390625,732.421875
1737145996890,79,734.375
1737145997880,80,688.4765625
1737145998870,81,685.546875,725.5859375
1737145999860,81,791.9921875
1737146000895,81,749.0234375
1737146001930,81,759.765625,727.5390625
1737146002875,81,724.609375
1737146003865,81,732.421875
1737146004900,81,738.28125,768.5546875
1737146005890,81,745.1171875
1737146006887,81,734.375
1737146007870,81,759.765625,771.484375
1737146008860,80,728.515625
1737146009940,81,700.1953125,678.7109375
1737146011020,81,660.15625
1737146011920,83,656.25,681.640625
1737146012865,84,712.890625
